prk_center_id,name,cells,la,lo,klass,confidence,b_sig,p_sig,std_match
30083-29391-00162-00-1,,4,37.4131189167,126.9067727928,부설,0.9,False,False,False
30084-29391-00015-00-1,영원 해밀리지,12,37.4129349127,126.906524512,애매,0.3,False,False,False
30086-29391-00011-00-1,,1,37.4127007943,126.9067100544,부설,0.9,False,False,False
30086-29391-00012-00-1,아남맨션,4,37.4124737555,126.9067329276,부설,0.9,True,False,False
30086-29391-00013-00-1,석수골든빌,8,37.4122501781,126.9065750642,부설,0.9,True,False,False
30086-29391-00014-00-1,원진아파트,17,37.4128230721,126.9063800643,부설,0.9,True,False,False
30086-29391-00015-00-1,석수동 292-26 단독주택,4,37.412624823,126.9063486827,부설,0.9,True,False,False
30086-29391-00016-00-1,,5,37.412949211,126.9063753889,부설,0.9,False,False,False
30086-29391-00017-00-1,황토하우스2차,10,37.4119726573,126.9065663723,부설,0.9,True,False,False
30086-29391-00018-00-1,,3,37.4115618857,126.9066843573,부설,0.9,False,False,False
30086-29391-00019-00-1,,1,37.4106752086,126.9065905748,부설,0.9,False,False,False
30086-29391-00020-00-1,,1,37.4106575869,126.9070966357,부설,0.9,False,False,False
30086-29391-00021-00-1,다가구주택,1,37.4107835126,126.9068208692,부설,0.9,True,False,False
30086-29391-00022-00-1,다가구주택,1,37.4109277183,126.9068749092,부설,0.9,True,False,False
30086-29391-00023-00-1,다가구주택,1,37.4110285612,126.9067844198,부설,0.9,True,False,False
30086-29391-00024-00-1,,3,37.4110935662,126.9069515139,부설,0.9,False,False,False
30086-29391-00025-00-1,,1,37.4104203894,126.907955385,부설,0.9,False,False,False
30086-29391-00026-00-1,,10,37.4097577164,126.9085706643,부설,0.9,False,False,False
30086-29391-00027-00-1,동신벨로스,77,37.4092432155,126.9097188923,애매,0.3,False,False,False
30086-29391-00028-00-1,해동빌라트,3,37.4095244024,126.9098089176,부설,0.9,True,False,False
30087-29391-00006-00-1,,3,37.423820276,126.912625184,부설,0.9,False,False,False
30087-29391-00007-00-1,봉빌딩,2,37.4237156779,126.9125168497,부설,0.9,True,False,False
30087-29391-00008-00-1,,1,37.4230848959,126.9124226856,부설,0.9,False,False,False
30087-29391-00009-00-1,창흥빌딩,4,37.4229293561,126.9116636843,부설,0.9,True,False,False
30087-29391-00010-00-1,효빌딩,4,37.4219950633,126.9105486168,부설,0.9,True,False,False
30087-29391-00011-00-1,,2,37.4219265073,126.9104447641,부설,0.9,False,False,False
30087-29391-00012-00-1,,1,37.421789402,126.9102460969,부설,0.9,False,False,False
30087-29391-00013-00-1,,4,37.4219920211,126.9112942367,부설,0.9,False,False,False
30087-29391-00014-00-1,,2,37.4207642256,126.9081370349,부설,0.9,False,False,False
30087-29391-00015-00-1,,2,37.4214031429,126.9094286458,부설,0.9,False,False,False
30087-29391-00016-00-1,,1,37.4213778001,126.9092795543,부설,0.9,False,False,False
30087-29391-00017-00-1,,2,37.4221448465,126.9084742655,부설,0.9,False,False,False
30087-29391-00018-00-1,,2,37.422029921,126.9089985965,부설,0.9,False,False,False
30087-29391-00019-00-1,안양원예농업협동조합 빌딩,7,37.4202492814,126.9087025116,부설,0.9,True,False,False
30087-29391-00020-00-1,,3,37.4201123652,126.9087523844,부설,0.9,False,False,False
30087-29391-00021-00-1,석수동다가구주택,2,37.4199899488,126.9089106897,부설,0.9,True,False,False
30087-29391-00022-00-1,,7,37.4195218295,126.9094444678,부설,0.9,False,False,False
30087-29391-00023-00-1,,1,37.4192802806,126.9093453467,부설,0.9,False,False,False
30087-29391-00026-00-1,,5,37.4243512782,126.9142694933,부설,0.9,False,False,False
30087-29391-00027-00-1,,6,37.4245062563,126.9142738356,부설,0.9,False,False,False
30087-29391-00028-00-1,석수동 152-5 단독주택,1,37.4239369611,126.9144778398,부설,0.9,True,False,False
30087-29391-00029-00-1,,2,37.4238540315,126.9144282252,부설,0.9,False,False,False
30087-29391-00030-00-1,,1,37.4241601051,126.9140527984,부설,0.9,False,False,False
30087-29391-00031-00-1,,8,37.4241347352,126.9138585098,부설,0.9,False,False,False
30087-29391-00032-00-1,,2,37.423612451,126.9142793736,부설,0.9,False,False,False
30087-29391-00033-00-1,,2,37.4227068027,126.9128750189,부설,0.9,False,False,False
30087-29391-00034-00-1,,1,37.4228833653,126.912825106,부설,0.9,False,False,False
30087-29391-00035-00-1,,1,37.4224112392,126.9128346911,부설,0.9,False,False,False
30087-29391-00036-00-1,,1,37.4223712704,126.9123964033,부설,0.9,False,False,False
30087-29391-00037-00-1,,16,37.4184388585,126.9118994113,애매,0.3,False,False,False
30087-29391-00038-00-1,,1,37.4167564275,126.9128050965,부설,0.9,False,False,False
30087-29391-00039-00-1,다가구주택,2,37.4165540741,126.9120959171,부설,0.9,True,False,False
30088-29391-00003-00-1,석수동 75 상가,3,37.4235604819,126.9122187776,부설,0.9,True,False,False
30088-29391-00034-00-1,,1,37.4162740592,126.9135918822,부설,0.9,False,False,False
30088-29391-00035-00-1,,2,37.416248546,126.9132033169,부설,0.9,False,False,False
30089-29391-00001-00-1,,4,37.4195092883,126.9169049185,부설,0.9,False,False,False
30089-29391-00002-00-1,,3,37.4200106465,126.9174646918,부설,0.9,False,False,False
30089-29391-00003-00-1,석수동 221-60 근생주택 (오은영),3,37.4194302396,126.9172484296,부설,0.9,True,False,False
30089-29391-00004-00-1,,1,37.4221583775,126.9170420771,부설,0.9,False,False,False
30089-29391-00005-00-1,서광사,3,37.4216792042,126.9172821057,애매,0.3,False,False,False
30089-29391-00006-00-1,,6,37.4222581112,126.9058441264,부설,0.9,False,False,False
30089-29391-00007-00-1,,4,37.4207810671,126.9066322493,부설,0.9,False,False,False
30089-29391-00008-00-1,,34,37.4194150537,126.9065435706,애매,0.3,False,False,False
30089-29391-00009-00-1,개성하이뷰 제1동,31,37.4195453624,126.9072573695,애매,0.3,False,False,False
30089-29391-00010-00-1,석수동관악아파트,8,37.4190589901,126.9074839048,부설,0.9,True,False,False
30089-29391-00011-00-1,석수동 관악맨션,5,37.4193545556,126.9075242098,부설,0.9,True,False,False
